Date, Height
1 Dec 2026,18.1
2 Dec 2025,18.3 
3 Dec 2025,18.37 
4 Dec 2025,18.34 
5 Dec 2025,18.5
6 Dec 2025,18.3
7 Dec 2025,18.3
8 Dec 2025,18.4
9 Dec 2025,18.5
10 Dec 2025,18.3
11 Dec 2025,18.45
12 Dec 2025,18.2
13 Dec 2025,18.35
14 Dec 2025,18.2
15 Dec 2025,18.3
16 Dec 2025,18.35
17 Dec 2025,18.3
18 Dec 2025,18.1 
19 Dec 2025,17.91
20 Dec 2025,17.9
21 Dec 2025,17.8 
22 Dec 2025,18.0
23 Dec 2025,17.8
24 Dec 2025,17.9
25 Dec 2025,17.7
26 Dec 2025,17.6
27 Dec 2025,17.4
28 Dec 2025,17.4
29 Dec 2025,17.6
30 Dec 2025,17.3
31 Dec 2025,17.4
