dateTime, 	Metres
2022-12-16T09:00:00,0.137
2022-12-17T09:00:00,0.134
2022-12-19T08:15:00,0.155
2022-12-20T08:45:00,0.323
2022-12-20T12:30:00,0.332
2022-12-21T09:00:00,0.279
2022-12-23T08:45:00,0.236
2022-12-24T01:45:00,0.281
2022-12-24T09:45:00,0.279
2022-12-26T07:30:00,0.286
2022-12-26T09:30:00,0.286
2022-12-28T05:00:00,0.367
2022-12-28T22:15:00,0.375
2022-12-29T09:00:00,0.37
2022-12-30T09:30:00,0.358
2023-01-01T03:45:00,0.38
2023-01-01T09:15:00,0.378
2023-01-02T09:00:00,0.354
2023-01-04T08:30:00,0.362
2023-01-04T19:00:00,0.373
2023-01-05T09:30:00,0.362
2023-01-06T11:15:00,0.347
2023-01-08T00:30:00,0.341
2023-01-08T09:00:00,0.336
2023-01-09T10:00:00,0.326
2023-01-10T09:15:00,0.308
2023-01-11T01:00:00,0.346
2023-01-11T09:00:00,
2023-01-12T08:30:00,0.455
2023-01-12T23:45:00,0.544
2023-01-13T10:30:00,0.518
2023-01-14T15:15:00,0.481
2023-01-15T09:00:00,0.459
2023-01-16T09:30:00,0.428
2023-01-17T10:30:00,0.392
2023-01-18T09:00:00,0.358
2023-01-19T09:00:00,0.327
2023-01-20T09:15:00,0.302
2023-01-21T09:15:00,0.279
2023-01-22T09:30:00,0.263
2023-01-23T09:15:00,0.243
2023-01-24T09:15:00,0.226
2023-01-25T09:00:00,0.217
2023-01-26T09:15:00,0.208
2023-01-27T09:15:00,0.201
2023-01-28T10:45:00,0.195
2023-01-29T09:30:00,0.189
2023-01-30T09:15:00,0.185
2023-01-31T09:00:00,0.179
2023-02-01T12:30:00,0.175
2023-02-02T09:30:00,0.171
2023-02-03T14:30:00,0.167
2023-02-04T09:00:00,0.163
2023-02-05T09:00:00,0.159
2023-02-06T10:30:00,0.157
2023-02-07T09:15:00,0.155
2023-02-08T10:00:00,0.152
2023-02-09T11:45:00,0.151
2023-02-10T14:00:00,0.148
2023-02-11T09:00:00,0.146
2023-02-12T10:45:00,0.144
2023-02-13T09:00:00,0.142
2023-02-14T09:30:00,0.147
2023-02-15T09:00:00,0.14
2023-02-16T13:30:00,0.142
2023-02-18T08:30:00,0.142
2023-02-18T20:00:00,0.19
2023-02-19T09:00:00,0.182
2023-02-20T09:00:00,0.165
2023-02-21T09:00:00,0.159
2023-02-22T11:15:00,0.16
2023-02-23T10:45:00,0.157
2023-02-24T13:30:00,0.156
2023-02-25T09:00:00,0.154
2023-02-26T09:30:00,0.15
2023-02-27T09:45:00,0.148
2023-02-28T17:00:00,0.148
2023-03-01T10:30:00,0.146
2023-03-02T09:45:00,0.147
2023-03-03T09:15:00,0.142
2023-03-04T09:00:00,0.14
2023-03-05T16:15:00,0.14
2023-03-07T05:30:00,0.141
2023-03-08T03:30:00,0.142
2023-03-08T22:00:00,0.144
2023-03-10T08:00:00,0.24
2023-03-10T12:00:00,0.247
2023-03-11T09:00:00,0.221
2023-03-13T08:30:00,0.245
2023-03-14T07:15:00,0.26
2023-03-14T11:00:00,0.26
2023-03-16T07:15:00,0.252
2023-03-17T07:30:00,0.266
2023-03-17T14:00:00,0.269
2023-03-18T09:00:00,0.264
2023-03-19T09:15:00,0.247
2023-03-20T09:15:00,0.23
2023-03-22T07:30:00,0.232
2023-03-23T08:30:00,0.26
2023-03-24T07:45:00,0.307
2023-03-24T09:45:00,0.309
2023-03-26T08:45:00,0.319
2023-03-26T17:15:00,0.338
2023-03-27T09:00:00,0.327
2023-03-28T09:15:00,0.303
2023-03-30T08:45:00,0.352
2023-03-31T08:45:00,0.374
2023-04-01T08:30:00,0.478
2023-04-01T18:00:00,0.503
2023-04-02T09:45:00,0.483
2023-04-03T09:00:00,0.412
2023-04-04T09:00:00,0.366
2023-04-05T09:00:00,0.334
2023-04-06T09:00:00,0.307
2023-04-07T09:00:00,0.284
2023-04-08T09:00:00,0.267
2023-04-10T08:45:00,0.25
2023-04-10T18:00:00,0.283
2023-04-11T10:00:00,0.277
2023-04-12T07:30:00,0.307
2023-04-13T04:45:00,0.331
2023-04-13T10:00:00,0.331
2023-04-14T09:00:00,0.311
2023-04-15T09:00:00,0.295
2023-04-16T09:15:00,0.281
2023-04-17T09:00:00,0.267
2023-04-18T09:30:00,0.253
2023-04-19T09:45:00,0.241
2023-04-20T11:30:00,0.233
2023-04-21T09:00:00,0.223
2023-04-23T00:30:00,0.22
2023-04-23T09:00:00,0.217
2023-04-24T09:00:00,0.207
2023-04-25T09:15:00,0.202
2023-04-26T09:00:00,0.196
2023-04-27T09:00:00,0.192
2023-04-28T09:00:00,0.191
2023-04-29T10:00:00,0.186
2023-04-30T09:00:00,0.182
2023-05-01T09:00:00,0.179
2023-05-02T09:00:00,0.176
2023-05-03T10:30:00,0.174
2023-05-04T11:00:00,0.173
2023-05-05T09:00:00,0.17
2023-05-06T17:30:00,0.178
2023-05-07T09:00:00,0.174
2023-05-09T04:30:00,0.25
2023-05-09T09:00:00,0.245
2023-05-10T12:00:00,0.236
2023-05-11T10:00:00,0.22
2023-05-12T09:00:00,0.207
2023-05-13T09:00:00,0.198
2023-05-14T09:00:00,0.193
2023-05-15T09:00:00,0.188
2023-05-16T12:00:00,0.185
2023-05-17T09:00:00,0.179
2023-05-18T09:00:00,0.176
2023-05-19T13:00:00,0.174
2023-05-20T09:00:00,0.17
2023-05-21T10:00:00,0.169
2023-05-22T09:00:00,0.166
2023-05-23T09:00:00,0.164
2023-05-24T09:00:00,0.161
2023-05-25T10:45:00,0.16
