dateTime,	Metres
2025-12-12T00:15:00,	0.332
2025-12-12T00:45:00,	0.332
2025-12-12T01:15:00,	0.331
2025-12-12T01:45:00,	0.33
2025-12-12T02:15:00,	0.329
2025-12-12T02:45:00,	0.329
2025-12-12T03:15:00,	0.328
2025-12-12T03:45:00,	0.327
2025-12-12T04:15:00,	0.327
2025-12-12T04:45:00,	0.326
2025-12-12T05:15:00,	0.325
2025-12-12T05:45:00,	0.325
2025-12-12T06:15:00,	0.324
2025-12-12T06:45:00,	0.324
2025-12-12T07:15:00,	0.323
2025-12-12T07:45:00,	0.322
2025-12-12T08:15:00,	0.321
2025-12-12T08:45:00,	0.321
2025-12-12T09:15:00,	0.321
2025-12-12T09:45:00,	0.32
2025-12-12T10:15:00,	0.32
2025-12-12T10:45:00,	0.319
2025-12-12T11:15:00,	0.319
2025-12-12T11:45:00,	0.319
2025-12-12T12:15:00,	0.317
2025-12-12T12:45:00,	0.318
2025-12-12T13:15:00,	0.317
2025-12-12T13:45:00,	0.316
2025-12-12T14:15:00,	0.317
2025-12-12T14:45:00,	0.316
2025-12-12T15:15:00,	0.315
2025-12-12T15:45:00,	0.316
2025-12-12T16:15:00,	0.315
2025-12-12T16:45:00,	0.314
2025-12-12T17:15:00,	0.314
2025-12-12T17:45:00,	0.313
2025-12-12T18:15:00,	0.312
2025-12-12T18:45:00,	0.311
2025-12-12T19:15:00,	0.312
2025-12-12T19:45:00,	0.31
2025-12-12T20:15:00,	0.31
2025-12-12T20:45:00,	0.309
2025-12-12T21:15:00,	0.307
2025-12-12T21:45:00,	0.308
2025-12-12T22:15:00,	0.308
2025-12-12T22:45:00,	0.306
2025-12-12T23:15:00,	0.306
2025-12-12T23:45:00,	0.306
2025-12-13T00:15:00,	0.305
2025-12-13T00:45:00,	0.304
2025-12-13T01:15:00,	0.304
2025-12-13T01:45:00,	0.303
2025-12-13T02:15:00,	0.303
2025-12-13T02:45:00,	0.301
2025-12-13T03:15:00,	0.302
2025-12-13T03:45:00,	0.302
2025-12-13T04:15:00,	0.301
2025-12-13T04:45:00,	0.301
2025-12-13T05:15:00,	0.3
2025-12-13T05:45:00,	0.298
2025-12-13T06:15:00,	0.298
2025-12-13T06:45:00,	0.297
2025-12-13T07:15:00,	0.297
2025-12-13T07:45:00,	0.297
2025-12-13T08:15:00,	0.296
2025-12-13T08:45:00,	0.296
2025-12-13T09:15:00,	0.296
2025-12-13T09:45:00,	0.295
2025-12-13T10:15:00,	0.295
2025-12-13T10:45:00,	0.294
2025-12-13T11:15:00,	0.295
2025-12-13T11:45:00,	0.294
2025-12-13T12:15:00,	0.293
2025-12-13T12:45:00,	0.292
2025-12-13T13:15:00,	0.292
2025-12-13T13:45:00,	0.291
2025-12-13T14:15:00,	0.291
2025-12-13T14:45:00,	0.29
2025-12-13T15:15:00,	0.29
2025-12-13T15:45:00,	0.289
2025-12-13T16:15:00,	0.289
2025-12-13T16:45:00,	0.289
2025-12-13T17:15:00,	0.289
2025-12-13T17:45:00,	0.288
2025-12-13T18:15:00,	0.288
2025-12-13T18:45:00,	0.288
2025-12-13T19:15:00,	0.287
2025-12-13T19:45:00,	0.287
2025-12-13T20:15:00,	0.286
2025-12-13T20:45:00,	0.286
2025-12-13T21:15:00,	0.285
2025-12-13T21:45:00,	0.285
2025-12-13T22:15:00,	0.285
2025-12-13T22:45:00,	0.285
2025-12-13T23:15:00,	0.285
2025-12-13T23:45:00,	0.286
2025-12-14T00:15:00,	0.284
2025-12-14T00:45:00,	0.283
2025-12-14T01:15:00,	0.283
2025-12-14T01:45:00,	0.283
2025-12-14T02:15:00,	0.282
2025-12-14T02:45:00,	0.283
2025-12-14T03:15:00,	0.282
2025-12-14T03:45:00,	0.281
2025-12-14T04:15:00,	0.281
2025-12-14T04:45:00,	0.281
2025-12-14T05:15:00,	0.281
2025-12-14T05:45:00,	0.281
2025-12-14T06:15:00,	0.28
2025-12-14T06:45:00,	0.28
2025-12-14T07:15:00,	0.279
2025-12-14T07:45:00,	0.278
2025-12-14T08:15:00,	0.28
2025-12-14T08:45:00,	0.279
2025-12-14T09:15:00,	0.278
2025-12-14T09:45:00,	0.277
2025-12-14T10:15:00,	0.277
2025-12-14T10:45:00,	0.277
2025-12-14T11:15:00,	0.276
2025-12-14T11:45:00,	0.276
2025-12-14T12:15:00,	0.277
2025-12-14T12:45:00,	0.277
2025-12-14T13:15:00,	0.276
2025-12-14T13:45:00,	0.275
2025-12-14T14:15:00,	0.275
2025-12-14T14:45:00,	0.274
2025-12-14T15:15:00,	0.274
2025-12-14T15:45:00,	0.273
2025-12-14T16:15:00,	0.272
2025-12-14T16:45:00,	0.273
2025-12-14T17:15:00,	0.272
2025-12-14T17:45:00,	0.272
2025-12-14T18:15:00,	0.272
2025-12-14T18:45:00,	0.272
2025-12-14T19:15:00,	0.271
2025-12-14T19:45:00,	0.271
2025-12-14T20:15:00,	0.27
2025-12-14T20:45:00,	0.272
2025-12-14T21:15:00,	0.272
2025-12-14T21:45:00,	0.271
2025-12-14T22:15:00,	0.271
2025-12-14T22:45:00,	0.27
2025-12-14T23:15:00,	0.27
2025-12-14T23:45:00,	0.269
2025-12-15T00:15:00,	0.269
2025-12-15T00:45:00,	0.269
2025-12-15T01:15:00,	0.268
2025-12-15T01:45:00,	0.268
2025-12-15T02:15:00,	0.268
2025-12-15T02:45:00,	0.267
2025-12-15T03:15:00,	0.267
2025-12-15T03:45:00,	0.267
2025-12-15T04:15:00,	0.267
2025-12-15T04:45:00,	0.267
2025-12-15T05:15:00,	0.268
2025-12-15T05:45:00,	0.269
2025-12-15T06:15:00,	0.27
2025-12-15T06:45:00,	0.271
2025-12-15T07:15:00,	0.27
2025-12-15T07:45:00,	0.27
2025-12-15T08:15:00,	0.271
2025-12-15T08:45:00,	0.272
2025-12-15T09:15:00,	0.273
2025-12-15T09:45:00,	0.274
2025-12-15T10:15:00,	0.276
2025-12-15T10:45:00,	0.277
2025-12-15T11:15:00,	0.278
2025-12-15T11:45:00,	0.28
2025-12-15T12:15:00,	0.281
2025-12-15T12:45:00,	0.284
2025-12-15T13:15:00,	0.286
2025-12-15T13:45:00,	0.289
2025-12-15T14:15:00,	0.291
2025-12-15T14:45:00,	0.293
2025-12-15T15:15:00,	0.295
2025-12-15T15:45:00,	0.296
2025-12-15T16:15:00,	0.298
2025-12-15T16:45:00,	0.299
2025-12-15T17:15:00,	0.302
2025-12-15T17:45:00,	0.303
2025-12-15T18:15:00,	0.306
2025-12-15T18:45:00,	0.308
2025-12-15T19:15:00,	0.309
2025-12-15T19:45:00,	0.311
2025-12-15T20:15:00,	0.312
2025-12-15T20:45:00,	0.313
2025-12-15T21:15:00,	0.316
2025-12-15T21:45:00,	0.317
2025-12-15T22:15:00,	0.319
2025-12-15T22:45:00,	0.321
2025-12-15T23:15:00,	0.325
2025-12-15T23:45:00,	0.329
2025-12-16T00:15:00,	0.332
2025-12-16T00:45:00,	0.335
2025-12-16T01:15:00,	0.338
2025-12-16T01:45:00,	0.344
2025-12-16T02:15:00,	0.351
2025-12-16T02:45:00,	0.359
2025-12-16T03:15:00,	0.368
2025-12-16T03:45:00,	0.377
2025-12-16T04:15:00,	0.388
2025-12-16T04:45:00,	0.397
2025-12-16T05:15:00,	0.408
2025-12-16T05:45:00,	0.419
2025-12-16T06:15:00,	0.43
2025-12-16T06:45:00,	0.444
2025-12-16T07:15:00,	0.451
2025-12-16T07:45:00,	0.457
2025-12-16T08:15:00,	0.463
2025-12-16T08:45:00,	0.467
2025-12-16T09:15:00,	0.468
